Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
SNDX,21.86,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD) ,BLA Filing,01/02/2024,"BLA submitteed to the FDA, noted January 2, 2024.",86.0
INCY,65.45,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD) ,BLA Filing,01/02/2024,"BLA submitteed to the FDA, noted January 2, 2024.",195.0
LBPH,25.1,Bexicaserin (LP352) - (DEEp OCEAN),Adolescent and adult patients with developmental and epileptic encephalopathies (DEEs) ,Phase 1/2,01/02/2024,"Phase 1b/2a top-line data reported a median seizure reduction of 53.3% in countable motor seizures compared to 20.8% in the placebo group across the DEE study population, noted January 2, 2024.",39.0
ATAI,1.69,EMP-01,Post-Traumatic Stress Disorder (PTSD) ,Phase 1,01/02/2024,"Phase 1 was well-tolerated, and treatment-related adverse events (AEs) were all expected and generally dose-dependent, noted on January 2, 2024.",214.0
AVXL,6.05,ANAVEX 2-73-RS-003 - (EXCELLENCE),Pediatric Rett Syndrome ,Phase 2/3,01/02/2024,"Phase 2/3 results missed a primary endpoint on the LS Mean difference (SE) points between treated and placebo, noted January 2, 2024.",85.0
ATXI,12,AJ201,Spinal and bulbar muscular atrophy (SBMA) ,Phase 1/2,01/02/2024,"Phase 1b/2 enrollment completed, noted January 2, 2024.",3.0
SPRO,1.52,Tebipenem HBr (SPR994) - (PIVOT-PO),"Complicated urinary tract infection (cUTI), including acute pyelonephritis (AP) ",Phase 3,01/02/2024,"Phase 3 dosing initiated, noted January 2, 2024.",56.0
CTXR,0.81,Mino-Lok,Catheter related blood stream infection (CRBSI) ,Phase 3,01/02/2024,"Phase 3 enrollment was completed, noted January 2, 2024.",17.0
NVS,—,Farabursen (RGLS8429) (MAD),Autosomal Dominant Polycystic Kidney Disease (ADPKD) ,Phase 1b,01/02/2024,"Phase 1b third cohort completed, noted January 2, 2024.",
AGIO,24.02,PYRUKYND (Mitapivat) - (ENERGIZE),Thalassemia ,Phase 3,01/03/2024,"Phase 3 data reported that the trial met its primary endpoint and key secondary endpoints, noted January 3, 2024.",58.0
TEVA,10.95,AVT06 - (EYLEA biosimilar),Eye disorders ,Phase 3,01/03/2024,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",
ALVO,11.68,AVT06 - (EYLEA biosimilar),Eye disorders ,Phase 3,01/03/2024,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",301.0
DYN,14.77,DYNE-101 - (ACHIEVE),Myotonic Dystrophy Type 1 (DM1) ,Phase 1/2,01/03/2024,"Phase 1/2 MAD data reported a dose-dependent splicing correction and increase in muscle delivery and DMPK knockdown while also showing functional improvement in myotonia, noted January 3, 2024.",142.0
DYN,14.77,DYNE-251 - (DELIVER),Duchenne muscular dystrophy (DMD) ,Phase 1/2,01/03/2024,"Phase 1/2 initial data reported a mean absolute dystrophin level of 0.88% of normal and a 0.28% change from baseline at 6 months, noted January 3, 2024.",142.0
ATHA,3.03,Fosgonimeton (ATH-1017) - (LIFT-AD),Alzheimer’s disease ,Phase 2/3,01/03/2024,"Phase 2/3 trial enrollment completed, noted January 3, 2024.",3.0
APLM,0.96,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML) ,Phase 3,01/03/2024,"Phase 3 enrollment completed, noted January 3, 2024.",1.0
GLYC,3.03,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML) ,Phase 3,01/03/2024,"Phase 3 enrollment completed, noted January 3, 2024.",13.0
CMMB,0.53,nebokitug (CM-101) - (SPRING),Primary Sclerosing Cholangitis ,Phase 2,01/03/2024,"Phase 2 early enrollment completed, noted January 3, 2023.",5.0
SLRX,0.64,Seclidemstat,Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML) ,Phase 1/2,01/03/2024,"Additional Phase 1/2 data reported that an additional Ewing sarcoma patient treated with seclidemstat, topotecan and cyclophosphamide (TC) has achieved a partial response as demonstrated by at least a",
INTS,7.99,INT230-6,Advanced Soft Tissue Sarcoma ,Phase 3,01/03/2024,"FDA provided ""Study May Proceed"" letter, noted January 3, 2024.",47.0
