row_id,sent_id,text,aspects,polarity,opinion_sample
0,0_0,"BLA submitted to the FDA, noted January 2, 2024.",regulatory,POS,BLA submitted
1,1_0,"BLA submitted to the FDA, noted January 2, 2024.",regulatory,POS,BLA submitted
2,2_0,"Phase 1 was well-tolerated, and treatment-related adverse events (AEs) were all expected and generally dose-dependent, noted on January 2, 2024.","safety,phase",POS,well-tolerated
3,3_0,"Phase 2/3 results missed a primary endpoint on the LS Mean difference (SE) points between treated and placebo, noted January 2, 2024.","endpoint,effect,phase",NEG,missed
4,4_0,"Phase 1b/2 enrollment completed, noted January 2, 2024.","phase,enrollment",POS,enrollment completed
5,5_0,"Phase 3 dosing initiated, noted January 2, 2024.","phase,clinical",POS,dosing initiated
6,6_0,"Phase 3 enrollment was completed, noted January 2, 2024.","phase,enrollment",POS,enrollment was completed
7,7_0,"Phase 1b third cohort completed, noted January 2, 2024.","phase,clinical",POS,third cohort completed
8,8_0,"Phase 3 data reported that the trial met its primary endpoint and key secondary endpoints, noted January 3, 2024.","endpoint,phase,financial",POS,met
9,9_0,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.","endpoint,phase",POS,met
10,10_0,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.","endpoint,phase",POS,met
13,13_0,"Phase 2/3 trial enrollment completed, noted January 3, 2024.","phase,enrollment",POS,enrollment completed
14,14_0,"Phase 3 enrollment completed, noted January 3, 2024.","phase,enrollment",POS,enrollment completed
15,15_0,"Phase 2 early enrollment completed, noted January 3, 2023.","phase,enrollment",POS,enrollment completed
16,16_0,"Additional Phase 1/2 data reported that an additional Ewing sarcoma patient treated with seclidemstat, topotecan and cyclophosphamide (TC) has achieved a partial response as demonstrated by at least a",phase,POS,achieved
19,19_0,Phase 1 MAD results from 24 healthy volunteers showed that study was well tolerated in participants over the entire dose range and resulted in no safety signals of concern.,"safety,phase",POS,well tolerated
24,24_0,"Phase 2 trial met its primary endpoint, noted January 4, 2024.","endpoint,phase",POS,met
28,28_0,"Phase 1 dosing initiated, noted January 4, 2024.","phase,clinical",POS,dosing initiated
29,29_0,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar","phase,clinical",NEU,statistically significant
30,30_0,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar","phase,clinical",NEU,statistically significant
