Ticker,Drug,Indication,Stage,Date,Catalyst,Shares_Millions,Market_Cap,Volatility,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Return_D1,XBI_Return_D5,Short_Interest_Pct,Year_Beta,Daily_Volum_Traded,row_id,has_endpoint,has_pvalue,has_effect,has_safety,has_sample,has_phase,has_partner,has_regulatory,has_financial,has_enrollment,has_clinical,has_catalyst,pos_count,neg_count,neu_count,headline_sentiment
SNDX,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)Â ,BLA Filing,1/2/2024,"BLA submitteed to the FDA, noted January 2, 2024.",86.0,1853.94083,47.8089,21.61,21.86,22.64,0.011502312,0.046562083,0.012282537,-0.047140884,12.18667,0.3223,27.4223,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
INCY,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD)Â ,BLA Filing,1/2/2024,"BLA submitteed to the FDA, noted January 2, 2024.",195.0,14667.94963,26.2121,62.79,65.45,64.38,0.041490667,0.025007201,0.012282537,-0.047140884,3.11092,0.29539,95.47892,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
ATAI,EMP-01,Post-Traumatic Stress Disorder (PTSD)Â ,Phase 1,1/2/2024,"Phase 1 was well-tolerated, and treatment-related adverse events (AEs) were all expected and generally dose-dependent, noted on January 2, 2024.",214.0,280.5577,76.7738,1.41,1.69,2.19,0.181138825,0.440311839,0.012282537,-0.047140884,2.72094,0.19038,5.22094,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1
AVXL,ANAVEX 2-73-RS-003 - (EXCELLENCE),Pediatric Rett SyndromeÂ ,Phase 2/3,1/2/2024,"Phase 2/3 results missed a primary endpoint on the LS Mean difference (SE) points between treated and placebo, noted January 2, 2024.",85.0,496.21296,88.6481,9.31,6.045,6.41,-0.431857607,-0.37322982,0.012282537,-0.047140884,22.07637,0.2929,56.00573,3,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,-1
ATXI,AJ201,Spinal and bulbar muscular atrophy (SBMA)Â ,Phase 1/2,1/2/2024,"Phase 1b/2 enrollment completed, noted January 2, 2024.",3.0,2.11961,106.4138,12.07503,12.00003,14.13754,-0.006230534,0.157693987,0.012282537,-0.047140884,1.7293,0.0,0.16552,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
SPRO,Tebipenem HBr (SPR994) - (PIVOT-PO),"Complicated urinary tract infection (cUTI), including acute pyelonephritis (AP)Â ",Phase 3,1/2/2024,"Phase 3 dosing initiated, noted January 2, 2024.",56.0,80.55896,48.2975,1.47,1.52,1.46,0.033447934,-0.006825965,0.012282537,-0.047140884,1.84249,0.13337,0.65182,5,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1
CTXR,Mino-Lok,Catheter related blood stream infection (CRBSI)Â ,Phase 3,1/2/2024,"Phase 3 enrollment was completed, noted January 2, 2024.",17.0,128.55627,58.412,18.9125,20.2175,18.6625,0.066725487,-0.013306916,0.012282537,-0.047140884,8.46801,0.03937,0.5833,6,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
NVS,Farabursen (RGLS8429) (MAD),Autosomal Dominant Polycystic Kidney Disease (ADPKD)Â ,Phase 1b,1/2/2024,"Phase 1b third cohort completed, noted January 2, 2024.",0.0,1411.16675,47.7725,4.52,4.4,4.45,-0.026907453,-0.015607898,0.012282537,-0.047140884,0.0,0.01319,0.03078,7,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1
AGIO,PYRUKYND (Mitapivat) - (ENERGIZE),ThalassemiaÂ ,Phase 3,1/3/2024,"Phase 3 data reported that the trial met its primary endpoint and key secondary endpoints, noted January 3, 2024.",58.0,1342.50864,35.5535,22.83,24.02,23.4,0.050811356,0.024660562,0.008682156,-0.02517095,12.29495,0.42335,64.6156,8,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1
TEVA,AVT06 - (EYLEA biosimilar),Eye disordersÂ ,Phase 3,1/3/2024,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",0.0,12274.63466,37.7228,10.67,10.95,11.49,0.025903391,0.074041027,0.008682156,-0.02517095,1.25926,0.10705,159.06765,9,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
ALVO,AVT06 - (EYLEA biosimilar),Eye disordersÂ ,Phase 3,1/3/2024,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",301.0,3101.38715,40.855,11.36,11.68,12.21,0.027779564,0.072156875,0.008682156,-0.02517095,0.02756,0.03281,0.63091,10,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
DYN,DYNE-101 - (ACHIEVE),Myotonic Dystrophy Type 1 (DM1)Â ,Phase 1/2,1/3/2024,"Phase 1/2 MAD data reported a dose-dependent splicing correction and increase in muscle delivery and DMPK knockdown while also showing functional improvement in myotonia, noted January 3, 2024.",142.0,906.63648,83.4003,13.06,14.77,17.34,0.123043973,0.283461848,0.008682156,-0.02517095,15.85134,0.17516,309.23751,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYN,DYNE-251 - (DELIVER),Duchenne muscular dystrophy (DMD)Â ,Phase 1/2,1/3/2024,"Phase 1/2 initial data reported a mean absolute dystrophin level of 0.88% of normal and a 0.28% change from baseline at 6 months, noted January 3, 2024.",142.0,906.63648,83.4003,13.06,14.77,17.34,0.123043973,0.283461848,0.008682156,-0.02517095,15.85134,0.17516,309.23751,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATHA,Fosgonimeton (ATH-1017) - (LIFT-AD),Alzheimerâ€™s diseaseÂ ,Phase 2/3,1/3/2024,"Phase 2/3 trial enrollment completed, noted January 3, 2024.",3.0,115.30538,69.7535,28.9,30.3,28.8,0.047306117,-0.003466208,0.008682156,-0.02517095,1.29185,0.13226,2.42009,13,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
APLM,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML)Â ,Phase 3,1/3/2024,"Phase 3 enrollment completed, noted January 3, 2024.",1.0,85.50182,138.9394,91.93,95.5,94.7399,0.03809883,0.030107824,0.008682156,-0.02517095,0.08805,0.08805,0.65609,14,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
CMMB,nebokitug (CM-101) - (SPRING),Primary Sclerosing CholangitisÂ ,Phase 2,1/3/2024,"Phase 2 early enrollment completed, noted January 3, 2023.",5.0,6.32064,82.6604,2.1512,2.1388,2.18,-0.005780902,0.013299051,0.008682156,-0.02517095,0.1516,0.11831,0.08527,15,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
SLRX,Seclidemstat,Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML)Â ,Phase 1/2,1/3/2024,"Additional Phase 1/2 data reported that an additional Ewing sarcoma patient treated with seclidemstat, topotecan and cyclophosphamide (TC) has achieved a partial response as demonstrated by at least a",0.0,2.51585,77.5817,76.81196,76.65596,79.07996,-0.002032999,0.029099135,0.008682156,-0.02517095,0.17692,0.00028,0.01679,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
