Ticker,Company,Price,Drug,Indication,Stage,Date,Catalyst,Shares
SNDX,Syndax Pharmaceuticals Inc.,21.86,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD) ,BLA Filing,02/01/2024 ET,"BLA submitteed to the FDA, noted January 2, 2024.",86.14M
Add to portfolio,,,,,,,,
INCY,Incyte Corporation,65.45,Niktimvo (axatilimab-csfr),Chronic Graft versus host disease (cGvHD) ,BLA Filing,02/01/2024 ET,"BLA submitteed to the FDA, noted January 2, 2024.",195.28M
Add to portfolio,,,,,,,,
LBPH,Longboard Pharmaceuticals Inc.,25.1,Bexicaserin (LP352) - (DEEp OCEAN),Adolescent and adult patients with developmental and epileptic encephalopathies (DEEs) ,Phase 1/2,02/01/2024 ET,"Phase 1b/2a top-line data reported a median seizure reduction of 53.3% in countable motor seizures compared to 20.8% in the placebo group across the DEE study population, noted January 2, 2024.",39.05M
Add to portfolio,,,BTD,,,,,
ATAI,ATAI Life Sciences N.V.,1.69,EMP-01,Post-Traumatic Stress Disorder (PTSD) ,Phase 1,02/01/2024 ET,"Phase 1 was well-tolerated, and treatment-related adverse events (AEs) were all expected and generally dose-dependent, noted on January 2, 2024.",214.34M
Add to portfolio,,,,,,,,
AVXL,Anavex Life Sciences Corp.,6.05,ANAVEX 2-73-RS-003 - (EXCELLENCE),Pediatric Rett Syndrome ,Phase 2/3,02/01/2024 ET,"Phase 2/3 results missed a primary endpoint on the LS Mean difference (SE) points between treated and placebo, noted January 2, 2024.",85.89M
Add to portfolio,,,View Clinical Trial Data,,,,,
ATXI,Avenue Therapeutics Inc.,12,AJ201,Spinal and bulbar muscular atrophy (SBMA) ,Phase 1/2,02/01/2024 ET,"Phase 1b/2 enrollment completed, noted January 2, 2024.",3.18M
Add to portfolio,,,,,,,,
SPRO,Spero Therapeutics Inc.,1.52,Tebipenem HBr (SPR994) - (PIVOT-PO),"Complicated urinary tract infection (cUTI), including acute pyelonephritis (AP) ",Phase 3,02/01/2024 ET,"Phase 3 dosing initiated, noted January 2, 2024.",56.28M
Add to portfolio,,,,,,,,
CTXR,Citius Pharmaceuticals Inc.,0.81,Mino-Lok,Catheter related blood stream infection (CRBSI) ,Phase 3,02/01/2024 ET,"Phase 3 enrollment was completed, noted January 2, 2024.",17.01M
Add to portfolio,,,View Clinical Trial Data,,,,,
NVS,Novartis AG,—,Farabursen (RGLS8429) (MAD),Autosomal Dominant Polycystic Kidney Disease (ADPKD) ,Phase 1b,02/01/2024 ET,"Phase 1b third cohort completed, noted January 2, 2024.",1.98B
Add to portfolio,,,ODD,,,,,
AGIO,Agios Pharmaceuticals Inc.,24.02,PYRUKYND (Mitapivat) - (ENERGIZE),Thalassemia ,Phase 3,03/01/2024 ET,"Phase 3 data reported that the trial met its primary endpoint and key secondary endpoints, noted January 3, 2024.",58.1M
Add to portfolio,,,View Clinical Trial Data,,,,,
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,10.95,AVT06 - (EYLEA biosimilar),Eye disorders ,Phase 3,03/01/2024 ET,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",1.15B
Add to portfolio,,,,,,,,
ALVO,Alvotech,11.68,AVT06 - (EYLEA biosimilar),Eye disorders ,Phase 3,03/01/2024 ET,"Phase 3 data reported that the trial met its primary endpoint, noted January 3, 2024.",301.81M
Add to portfolio,,,,,,,,
DYN,Dyne Therapeutics Inc.,14.77,DYNE-101 - (ACHIEVE),Myotonic Dystrophy Type 1 (DM1) ,Phase 1/2,03/01/2024 ET,"Phase 1/2 MAD data reported a dose-dependent splicing correction and increase in muscle delivery and DMPK knockdown while also showing functional improvement in myotonia, noted January 3, 2024.",142.26M
Add to portfolio,,,ODD,,,,,
,,,FTD,,,,,
,,,BTD,,,,,
